Facility_Name,Instrument_Type,Instrument_Model,Run_ID,Operator_ID,Protocol_Name,Protocol_Version,Reagent_Kit,Sample_Type,Sample_ID,QC_Status,QC_Score_PreNorm,QC_Score_PostNorm,Turnaround_Time_days,Data_Volume_GB,Data_Completeness_pct,Audit_Trail_Complete,Field_Source,Timestamp_Captured,Version,Validation_Status,Dataset_Type,Licensing_Status,Value_$,Read_1_Length,Read_2_Length,Indices_1_Length,Indices_2_Length,PhiX_pct,Order_Date,Total_Amount,Fulfillment_Status,Primary_Data_Size_GB,Primary_Data_Hash,Primary_Data_Link,Normalization_Status
Genome Center D,Illumina NovaSeq,NovaSeq 6000 S4,RUN_O6B06SE,OP_R1DZ,RNA-Seq PolyA,v2.1,QIAseq FX,Human,S_G09WT6XTY,Pass,83.3,85.3,5.6,71.4,99,Y,Core LIMS,2025-06-05 00:00:00,1.9,Validated,QC_Logs,Review,4500.0,151,151,12,12,0.91,2025-06-09,12800,COMPLETED,114.5,1ca76d1b318fbcbc82d7852eca6d8773,s3://ga-tech-datasets/genome-center-d/RUN_O6B06SE.fastq.gz,Mapped
Genomics Core B,Illumina NovaSeq,NextSeq 2000 P4,RUN_IEWLA2K,OP_GVOD,Targeted Panel v2,v3.3,Nextera XT,Organoid,S_BITF28HW4,Fail,73.9,74.6,2.5,64.8,94,Y,Sample Form,2025-06-25 00:00:00,3.5,Validated,Protocol_Benchmarks,Review,6400.0,151,151,8,8,1.35,2025-05-19,9600,SUBMITTED,81.5,18e1dd4a2cb51f7eacc3577082baeb5f,s3://ga-tech-datasets/genomics-core-b/RUN_IEWLA2K.fastq.gz,Unmapped
Genome Center D,ONT PromethION,PromethION R10.4,RUN_3AZAKG7,OP_IMX7,Targeted Panel v2,v1.0,Rapid Barcoding 24,Human,S_LBCPO0ATA,Pass,87.3,90.1,2.8,52.3,98,Y,Sample Form,2025-03-20 00:00:00,3.6,Validated,Protocol_Benchmarks,Ready,5200.0,400,0,8,0,1.34,2025-05-11,6400,SUBMITTED,117.5,65e517c372a7539af62dab14cd6cd6e4,s3://ga-tech-datasets/genome-center-d/RUN_3AZAKG7.fastq.gz,Mapped
Genomics Core A,ONT PromethION,NextSeq 2000 P4,RUN_54WTZA2,OP_XREV,RNA-Seq PolyA,v2.1,Nextera XT,Mouse,S_03GJRRIF4,Fail,78.8,81.3,6.1,31.2,98,Y,Instrument Log,2025-02-15 00:00:00,3.7,In Review,Genomics,Pending,5500.0,400,0,8,0,0.64,2025-02-03,9600,DRAFT,19.9,3aa2d3c0ccca7b4c878902317aa7d91c,s3://ga-tech-datasets/genomics-core-a/RUN_54WTZA2.fastq.gz,Mapped
Genomics Core B,Illumina NovaSeq,NovaSeq 6000 S4,RUN_LEBGX95,OP_YNXG,RNA-Seq PolyA,v1.0,Illumina V3 Kit,Mouse,S_B8RUGGXN6,Pass,88.8,91.1,6.7,49.2,94,Y,QC Pipeline,2025-03-04 00:00:00,3.9,Validated,QC_Logs,Ready,5600.0,151,151,8,10,1.36,2025-07-05,3200,DRAFT,135.3,9a9818c49056f346fd03d0d4e46a288c,s3://ga-tech-datasets/genomics-core-b/RUN_LEBGX95.fastq.gz,Unmapped
Genomics Core A,ONT PromethION,NovaSeq 6000 S4,RUN_2ONFIOS,OP_85PR,RNA-Seq PolyA,v2.1,Nextera XT,Mouse,S_7NSCPYF9C,Pass,88.1,92.0,2.6,61.3,91,Y,Instrument Log,2025-02-14 00:00:00,2.7,In Review,Protocol_Benchmarks,Ready,6900.0,400,0,8,0,0.98,2025-02-14,12800,SUBMITTED,56.8,fa666d525011cbb7b2e8f27b772634aa,s3://ga-tech-datasets/genomics-core-a/RUN_2ONFIOS.fastq.gz,Mapped
Genomics Core C,Illumina NovaSeq,NextSeq 2000 P4,RUN_CRTYWQJ,OP_4NNG,Targeted Panel v2,v1.0,Illumina V3 Kit,Organoid,S_8QEZ0YOUU,Pass,83.5,86.6,2.0,94.5,93,Y,Instrument Log,2025-03-25 00:00:00,2.5,In Review,Protocol_Benchmarks,Ready,3500.0,151,151,8,12,0.9,2025-05-11,4200,PENDING,38.5,95f1515f5e7b74cf4c4bc7b4117e27b3,s3://ga-tech-datasets/genomics-core-c/RUN_CRTYWQJ.fastq.gz,Mapped
Genomics Core B,ONT PromethION,NovaSeq 6000 S4,RUN_RUJ5V2M,OP_Q8Z6,Metagenomics Shotgun,v1.0,Illumina V3 Kit,Mouse,S_OWA23H885,Pass,92.7,94.4,4.3,96.3,95,N,Instrument Log,2025-02-14 00:00:00,2.8,Validated,Protocol_Benchmarks,Review,6300.0,400,0,8,0,1.09,2025-07-03,1800,COMPLETED,95.1,b4c9827d0c7ba64a291aa1c6c02735a2,s3://ga-tech-datasets/genomics-core-b/RUN_RUJ5V2M.fastq.gz,Mapped
Genome Center D,ONT PromethION,PromethION R10.4,RUN_LP54ICO,OP_M9IV,WGS PCR-Free,v2.1,Illumina V3 Kit,Organoid,S_80GMH32EN,Pass,89.7,95.5,4.1,80.2,95,Y,Core LIMS,2025-04-19 00:00:00,3.8,Validated,Protocol_Benchmarks,Review,3800.0,400,0,8,0,0.74,2025-07-10,1800,PENDING,121.0,a129c24ef97599402f677c1147a77f29,s3://ga-tech-datasets/genome-center-d/RUN_LP54ICO.fastq.gz,Mapped
Genome Center E,ONT PromethION,PromethION R10.4,RUN_R3L8UFE,OP_8KGR,Targeted Panel v2,v1.0,QIAseq FX,Mouse,S_GX4YFH88H,Pass,95.9,97.4,5.5,54.3,92,Y,Instrument Log,2025-05-04 00:00:00,3.3,In Review,Genomics,Review,5200.0,400,0,8,0,1.19,2025-05-16,4200,DRAFT,87.5,87c4f588d7405d0e824851aa143abbfc,s3://ga-tech-datasets/genome-center-e/RUN_R3L8UFE.fastq.gz,Unmapped
